sentiment,text
-1,started to think that citi is in really deep s&amp;^t. are they gonna survive the turmoil or are they gonna be the next aig? 
-1,shaunwoo hate'n on aig 
1,yarnthing you will not regret going to see star trek. it was awesome! 
0,on my way to see star trek @ the esquire. 
0,going to see star trek soon with my dad. 
-1,annoying new trend on the internets: people picking apart michael lewis and malcolm gladwell. nobody wants to read that. 
0,bill simmons in conversation with malcolm gladwell URL 
1,highly recommend: URL by malcolm gladwell 
1,blink by malcolm gladwell amazing book and the tipping point! 
1,malcolm gladwell might be my new man crush 
-1,omg. the commercials alone on espn are going to drive me nuts. 
1,robmalon playing with twitter api sounds fun. may need to take a class or find a new friend who like to generate results with api code. 
0,playing with curl and the twitter api 
1,hello twitter api ;) 
0,playing with java and the twitter api 
-1,morind45 because the twitter api is slow and most client's aren't good. 
-1,yahoo answers can be a butt sometimes 
1,is scrapbooking with nic =d 
1,rt mashable: five things wolfram alpha does better (and vastly different) than google - URL 
1,just changed my default pic to a nike basketball cause bball is awesome!!!!! 
0,"nike owns nba playoffs ads w/ lebron, kobe, carmelo? URL adidas billups howard marketing branding"" "
0,"next time, i'll call myself nike'"" "
0,new blog post: nike sb dunk low premium 'white gum' URL 
-1,rt smartchickpdx: was just told that nike layoffs started today :-( 
1,back when i worked for nike we had one fav word : just do it! :) 
1,"by the way, i'm totally inspired by this freaky nike commercial: URL "
0,"giving weka an app engine interface, using the bird strike data for the tests, the logo is a given."" "
0,"brand new canon eos 50d 15mp dslr camera canon 17-85mm is lens ...: web technology thread, brand new canon eos 5.. URL "
1,class... the 50d is supposed to come today :) 
-1,needs someone to explain lambda calculus to him! :( 
-1,took the graduate field exam for computer science today. nothing makes you feel like more of an idiot than lambda calculus. 
1,shout outs to all east palo alto for being in the buildin karizmakaze 50cal gta! also thanks to profits of doom universal hempz cracka...... 
-1,"legalgeekery yeahhhhhhhhh, i wouldn't really have lived in east palo alto if i could have avoided it. i guess it's only for the summer."" "
1,accannis edog1203 great stanford course. thanks for making it available to the public! really helpful and informative for starting off! 
0,"nvidia names stanford's bill dally chief scientist, vp of research URL "
0,new blog post: harvard versus stanford - who wins? URL 
1,@ work til 6pm... lets go lakers!!! 
-1,damn you north korea. URL 
-1,can we just go ahead and blow north korea off the map already? 
-1,"north korea, please cease this douchebaggery. china doesn't even like you anymore. URL "
-1,why the hell is pelosi in freakin china? and on whose dime? 
-1,"are you burning more cash $$$ than chrysler and gm? stop the financial tsunami. where """"bailout"""" means taking a handout!"" "
-1,insects have infected my spinach plant :( 
-1,wish i could catch every mosquito in the world n burn em slowly.they been bitin the shit outta me 2day.mosquitos are the assholes of insects 
-1,"just got back from church, and i totally hate insects."" "
-1,just got mcdonalds goddam those eggs make me sick. o yeah laker up date go lakers. not much of an update? well it's true so suck it 
1,omgg i ohhdee want mcdonalds damn i wonder if its open lol =] 
-1,history exam studying ugh 
-1,"i hate revision, it's so boring! i am totally unprepared for my exam tomorrow :( things are not looking good..."" "
-1,"higher physics exam tommorow, not lookin forward to it much :("" "
-1,"it's a bank holiday, yet i'm only out of work now. exam season sucks:("" "
-1,cheney and bush are the real culprits - URL 
-1,life?s a bitch? and so is dick cheney. p2 bipart tlot tcot hhrs gop dnc URL 
-1,"dick cheney's dishonest speech about torture, terror, and obama. -fred kaplan slate. URL "
-1,"the republican party is a bunch of anti-abortion zealots who couldn't draw flies to a dump."""" -- neal boortz (just now, on the radio)"" "
-1,is twitter's connections api broken? some tweets didn't make it to twitter... 
-1,"i srsly hate the stupid twitter api timeout thing, soooo annoying!!!!! :("" "
1,"psychemedia i really liked kswedberg's """"learning jquery"""" book. URL is worth a look too"" "
0,jquery ui 1.6 book review - URL 
1,"very interesting ad from adobe by goodby, silverstein &amp; partners - youtube - adobe cs4: le sens propre URL "
1,goodby silverstein agency new site! URL great! 
1,"rt designplay goodby, silverstein's new site: URL i enjoy it. *nice find!*"" "
1,the ever amazing psyop and goodby silverstein &amp; partners for hp! URL have to go play with after effects now! 
1,top ten most watched on viral-video chart. love the nike mostvaluablepuppets campaign from wieden &amp; kennedy URL 
1,zomg!!! i have a g2!!!!!!! 
1,ok so lots of buzz from io2009 but how lucky are they - a free g2!! URL 
1,just got a free g2 android at google i/o!!! 
1,guess i'll be retiring my g1 and start using my developer g2 woot googleio 
0,at gwt fireside chat googleio 
1,i am happy for philip being at googleio today 
1,lakers played great! cannot wait for thursday night lakers vs. ??? 
0,"hi there, does anyone have a great source for advice on viral marketing?... URL "
1,judd apatow creates fake sitcom on nbc.com to market his new movie... viral marketing at its best. URL 
0,"here's a case study on how to use viral marketing to add over 10,000 people to your list URL "
-1,viral marketing fail. this acia pills brand oughta get shut down for hacking into people's messenger's. i get 5-6 msgs in a day! arrrgh! 
1,watching night at the museum . lmao 
1,i loved night at the museum!!! 
0,going to see the new night at the museum movie with my family oh boy a three year old in the movies fuin 
1,just got back from the movies. went to see the new night at the museum with rachel. it was good 
0,just saw the new night at the museum movie...it was...okay...lol 7\10 
0,going to see night at the museum 2 with tall boy 
1,shannyoday i will take you on a date to see night at the museum 2 whenever you want...it looks soooooo good 
1,no watching the night at the museum. getting really good 
1,"night at the museum, wolverine and junk food - perfect monday!"" "
1,saw night at the museum 2 last night.. pretty crazy movie.. but the cast was awesome so it was well worth it. robin williams forever! 
0,i saw night at the museum: battle of the swithsonian today. it was okay. your typical [kids] ben stiller movie. 
0,taking katie to see night at the museum. (she picked it) 
-1,night at the museum tonite instead of up. :( oh well. that 4 yr old better enjoy it. lol 
0,gm says expects announcment on sale of hummer soon - reuters: wdsugm says expects announcment on sale of hummer .. URL 
-1,it's unfortunate that after the stimulus plan was put in place twice to help gm on the back of the american people has led to the inevitable 
-1,tell me again why we are giving more $$ to gm?? we should use that $ for all the programs that support the unemployed. 
-1,jdreiss oh yes but if gm dies it will only be worth more boo hahaha 
-1,time warner cable is down again 3rd time since memorial day bummer! 
-1,"i would rather pay reasonable yearly taxes for """"free"""" fast internet, than get gouged by time warner for a slow connection."" "
-1,nooooooo my dvr just died and i was only half way through the ea presser. hate you time warner 
-1,f*ck time warner cable!!! you f*cking suck balls!!! i have a $700 hd tv &amp; my damn hd channels hardly ever come in. bullshit!! 
-1,time warner has the worse customer service ever. i will never use them again 
-1,time warner is the devil. worst possible time for the internet to go out. 
-1,fuck no internet damn time warner! 
-1,time warner really picks the worst time to not work. all i want to do is get to mtv.com so i can watch the hills. wtfffff. 
-1,i hate time warner! soooo wish i had vios. cant watch the fricken mets game w/o buffering. i feel like im watching free internet porn. 
-1,ahh...got rid of stupid time warner today &amp; now taking a nap while the roomies cook for me. pretty good end for a monday :) 
-1,time warner's hd line up is crap. 
-1,is being fucked by time warner cable. didnt know modems could explode. and susan boyle sucks too! 
0,time warner cable pulls the plug on 'the girlfriend experience' - (URL 
-1,time warner cable slogan: where calling it a day at 2pm happens. 
0,"rocawear heads to china, building 300 stores - URL "
0,"climate focus turns to beijing: the united nations, the us and european governments have called on china to co-o.. URL "
0,myfoxdc barrie students back from trip to china: a silver spring high school's class trip to china has en.. URL 
0,"three china aerospace giants develop tianjin binhai new area, 22.9 b yuan invested URL "
0,URL gm ceo: china will continue to be key partner 
0,rt latimesautos is now the time to buy a gm car? URL 
-1,recovering from surgery..wishing julesrenner was here :( 
1,"my wrist still hurts. i have to get it looked at. i hate the dr/dentist/scary places. :( time to watch eagle eye. if you want to join, txt!"" "
0,dentist tomorrow. have to brush well in the morning. like i make my hair all nice before i get it cut. why? 
-1,"the dentist lied! """" u won't feel any discomort! prob won't even need pain pills"""" man u twippin this shit hurt!! how many pills can i take!!"" "
-1,kirstiealley my dentist is great but she's expensive...=( 
0,kirstiealley pet dentist URL 
1,is studing math ;) tomorrow exam and dentist :) 
-1,my dentist was wrong... wrong 
-1,going to the dentist later.:| 
-1,son has me looking at cars online. i hate car shopping. would rather go to the dentist! anyone with a good car at a good price to sell? 
0,ncaa baseball super regional - rams club URL 
0,just started playing major league baseball 2k9. URL 
0,cardinals baseball advance to super regionals. face cs-fullerton friday. 
0,sony coupon code.. expires soon.. URL 
0,waiting in line at safeway. 
-1,luke and i got stopped walking out of safeway and asked to empty our pockets and lift our shirts. how jacked up is that? 
0,did not realize there is a gym above safeway! 
0,"xphile1908 i have three words for you: """"safeway dot com"""""" "
1,safeway is very rock n roll tonight 
0,bout to hit safeway i gotta eat 
0,jake's going to safeway! 
0,found a safeway. picking up a few staples. 
0,safeway super-marketing via mobile coupons URL 
-1,the safeway bathroom still smells like ass! 
-1,"at safeway on elkhorn, they move like they're dead!"" "
0,your normal weight (and how to get there) ? normal eating blog URL 
0,is eating and watching movies.... 
0,eating sashimi 
0,is eating home made yema 
0,eating cake 
1,i love dwight howard's vitamin water commercial... now i wish he was with nike and not adidas. lol. 
-1,found nothing at nike factory :/ off to banana republic outlet! URL 
0,iphone may get radio tagging and nike : recently-released itunes version 8.2 suggests that voiceover functional.. URL 
1,is lovin his nike already and that's only from running on the spot in his bedroom 
0,launched! URL imgsearch ajax jquery webapp 
1,matthewcyan i finally got around to using jquery to make my bio collapse. yay for slide animations. 
0,rt jquery: the ultimate jquery list - URL 
0,i just extracted and open-sourced a jquery plugin from stormweight to highlight text with a regular expression: URL 
0,anna_debenham what was the php jquery hack? 
0,jquery cheat sheet URL 
0,beginning javascript and css development with jquery javascript css jquery URL 
1,"pdubyad right!!! lol we'll get there!! i have high expectations, warren buffet style."" "
1,"rt blknprecious1: rt great dbroos """"someone's sitting in the shade today because someone planted a tree a long time ago.""""- warren buffet"" "
0,warren buffet on the economy URL 
1,"warren buffet became (for a time) the richest man in the united states, not by working but investing in 1 big idea which lead to the fortune"" "
1,"according to the create a school, notre dame will have 7 receivers in ncaa 10 at 84 or higher rating :) *sweet*"" "
0,all-star basketball classic tuesday features top talent: chattanooga's notre dame high school will play host.. URL 
1,blondebroad it's definitely under warranty &amp; my experience is the amazon support for kindle is great! had to contact them about my kindle2 
0,"rt look, available !amazon kindle2 &amp; kindle dx, get it here: URL the top electronic book reader period, free 2 day ship ..."" "
-1,time warner road runner customer support here absolutely blows. i hate not having other high-speed net options. i'm ready to go nuclear. 
-1,time warner cable phone reps r dumber than nails!!!!! ugh! cable was working 10 mins ago now its not wtf! 
-1,siratomofbones we tried but time warner wasn't being nice so we recorded today. :) 
-1,omg - time warner f'ed up my internet install - instead of today its now next saturday - another week w/o internet! &amp;$*ehfa^v9fhg[*# fml. 
-1,"wth..i have never seen a line this loooong at time warner before, ugh."" "
-1,impatiently awaiting the arrival of the time warner guy. it's way too pretty to be inside all afternoon 
0,man accosts roger federer during french open URL 
-1,naive bayes using em for text classification. really frustrating... 
1,we went to stanford university today. got a tour. made me want to go back to college. it's also decided all of our kids will go there. 
0,investigation pending on death of stanford cs prof / google mentor rajeev motwani URL tip techmeme 
0,"i'm going to bed. it was a successful weekend. stanford, here i come."" "
-1,"karrisfoxy if you're being harassed by calls about your car warranty, changing your number won't fix that. they call every number. d-bags"" "
-1,just blocked united blood services using google voice. they call more than those car warranty guys. 
-1,at&amp;t is complete fail. 
-1,broskiii oh snap you work at at&amp;t don't you 
-1,mbjthegreat i really dont want at&amp;t phone service..they suck when it comes to having a signal 
-1,"i say we just cut out the small talk: at&amp;t's new slogan: f__k you, give us your money. (apologies to bob geldof.)"" "
-1,pissed about at&amp;t's mid-contract upgrade price for the iphone (it's $200 more) i'm not going to pay $499 for something i thought was $299 
-1,safari 4 is fast :) even on my shitty at&amp;t tethering. 
-1,ims what is at&amp;t fucking up? 
-1,springsingfiend dvyers sethdaggett jlshack at&amp;t dropped the ball and isn't supporting crap with the new iphone 3.0... fail att sucks!!! 
-1,"mmbarnhill yay, glad you got the phone! still, damn you, at&amp;t."" "
0,google wave developer sandbox account request URL 
-1,"talk is cheap: bing that, i?ll stick with google. URL "
-1,"defsounds wtf is the point of deleting tweets if they can still be found in summize and searches? twitter, please fix that. thanks and bye"" "
0,mattcutts have google profiles stopped showing up in searches? cant see them anymore 
1,arunbasillal i love google translator too ! :d good day mate ! 
1,reading on my new kindle2! 
1,my kindle2 came and i love it! :) 
1,"loving my new kindle2. named her kendra in case u were wondering. the """"cookbook"""" is the tool cuz it tells u all the tricks! best gift evr!"" "
-1,the real aig scandal / URL 
0,any twitter to aprs apps yet? 
0,45 pros you should be following on twitter - URL 
1,obama is quite a good comedian! check out his dinner speech on cnn :) very funny jokes. 
1," barack obama shows his funny side """" &gt;&gt; URL !! great speech.."" "
1,"i like this guy : ' barack obama shows his funny side """" &gt;&gt; URL !!"" "
1,obama's speech was pretty awesome last night! URL 
1,"reading """"bill clinton fail - obama win?"""" URL "
1,obama more popular than u.s. among arabs: survey: president barack obama's popularity in leading arab countries .. URL 
1,obama's got jokes!! haha just got to watch a bit of his after dinner speech from last night... i'm in love with mr. president ;) 
-1,lebron james got in a car accident i guess..just heard it on evening news...wow i cant believe it..will he be ok ? URL 
1,is it me or is this the best the playoffs have been in years oh yea lebron and melo in the finals 
1,"khalid0456 no, lebron is the best"" "
1,the_real_usher lebron is cool. i like his personality...he has good character. 
1,watching lebron highlights. damn that niggas good 
1,lou911 lebron is murdering shit. 
1,uscsports21 lebron is a monsta and he is only 24. smh the world ain't ready. 
1,cthagod when lebron is done in the nba he will probably be greater than kobe. like u said kobe is good but there alot of 'good' players. 
1,kobe is good bt lebron has my vote 
-1,kobe is the best in the world not lebron . 
1,"asherroth world cup 2010 access?? damn, that's a good look!"" "
1,just bought my tickets for the 2010 fifa world cup in south africa. its going to be a great summer. URL 
0,share: disruption...fred wilson's slides for his talk at google hq URL 
-1,i have to go to booz allen hamilton for a 2hr meeting :( but then i get to go home :) 
1,"the great indian tamasha truly will unfold from may 16, the result day for indian general election."" "
1,"crlane i have the kindle2. i've seen pictures of the dx, but haven't seen it in person. i love my kindle - i'm on it everyday."" "
1,criticalpath such an awesome idea - the continual learning program with a kindle2 URL 
0,ok.. do nothing.. just thinking about 40d 
1,"faithbabywear ooooh, what model are you getting??? i have the 40d and love love love love it!"" "
1,the times of india: the wonder that is india's election. URL 
1,URL good video from google on using search options. 
-1,ambcharlesfield lol. ah my skin is itchy :( damn lawnmowing. 
-1,itchy back!! dont ya hate it! 
1,stanford charity fashion show a top draw URL 
1,stanford university?s facebook profile is one of the most popular official university pages - URL 
1,lyx is cool. 
1,sooo dissapointed they sent danny gokey home... you still rock ...danny ... my hometown hero !! yeah milrockee!! 
1,"rt passionmodel 'american idol' fashion: adam lambert tones down, danny gokey cute ... URL "
1,dannygokey i love you danny gokey!! :) 
0,rt justindavey: rt tweetmeme gm onstar now instantly sends accident location coordinates to 911 | gps obsessed URL 
-1,so tired. i didn't sleep well at all last night. 
-1,boarding plane for san francisco in 1 hour; 6 hr flight. blech. 
-1,bonjour san francisco. my back hurts from last night.. 
0,"breakers. in san francisco, ca URL "
0,heading to san francisco 
1,with my best girl for a few more hours in san francisco. mmmmmfamily is wonderful! 
-1,"f*** up big, or go home - aig"" "
1,went to see the star trek movie last night. very satisfying. 
1,"i can't wait, going to see star trek tonight!!"" "
1,star trek was as good as everyone said!! 
1,am loving new malcolm gladwell book - outliers 
1,i highly recommend malcolm gladwell's 'the tipping point.' my next audiobook will probably be one of his as well. 
-1,malcolm gladwell is a genius at tricking people into not realizing he's a fucking idiot 
-1,"sportsguy33 hey no offense but malcolm gladwell is a pretenious, annoying cunt and he brings you down. cant read his shit"" "
1,rt clashmore: URL great article by malcolm gladwell. 
1,i seriously underestimated malcolm gladwell. i want to meet this dude. 
-1,i hate comcast right now. everything is down cable internet &amp; phone....ughh what am i to do 
-1,comcast sucks. 
-1,the day i never have to deal with comcast again will rank as one of the best days of my life. 
-1,dommm did comcast fail again?? 
0,how do you use the twitter api?... URL 
-1,curses the twitter api limit 
-1,"now i can see why dave winer screams about lack of twitter api, its limitations and access throttles!"" "
0,testing twitter api 
-1,arg. twitter api is making me crazy. 
0,testing twitter api. remote update 
1,i'm really loving the new search site wolfram/alpha. makes google seem so ... quaint. URL 
-1,"wolfram alpha sucks! even for researchers the information provided is less than you can get from google or wikipedia, totally useless!"" "
1,off to the nike factory!!! 
1,new nike muppet commercials are pretty cute. why do we live together again? 
0,new blog post: nike zoom lebron soldier 3 (iii) - white / black - teal URL 
0,new blog post: nike trainer 1 URL 
-1,fraggle312 oh those are awesome! i so wish they weren't owned by nike :( 
1,tonyhawk URL - awesome!!! seeing the show friday at the shoreline amphitheatre. never seen nin before. can't wait. ... 
-1,"arhh, it's weka bug. = ="""" and i spent almost two hours to find that out. crappy me"" "
1,"mitzs hey bud :) np i do so love my 50d, although i'd love a 5d mkii more"" "
1,jonduenas robynlyn just got us a 50d for the office. :d 
1,just picked up my new canon 50d...it's beautiful!! prepare for some seriously awesome photography! 
1,just got my new toy. canon 50d. love love love it! 
1,learning about lambda calculus :) 
0,"jobs sittercity help with taking care of sick child (east palo alto, ca) URL "
1,i'm moving to east palo alto! 
1,@ atebits i just finished watching your stanford iphone class session. i really appreciate it. you rock! 
1,jktweet hi! just saw your stanford talk and really liked your advice. just saying hi from singapore (yes the videos do get around) 
0,mba admissions tips stanford gsb deadlines and essay topics 2009-2010 URL 
0,ethics and nonprofits - URL stanford socialentrepreneurship 
1,lakers tonight let's go!!!! 
1,will the lakers kick the nuggets ass tonight? 
-1,oooooooh... north korea is in troubleeeee! URL 
-1,wat the heck is north korea doing!!??!! they just conducted powerful nuclear tests! follow the link: URL 
-1,listening to obama... friggin north korea... 
-1,"i just realized we three monkeys in the white obama.biden,pelosi . sarah palin 2012"" "
-1,foxnews pelosi should stay in china and never come back. 
-1,nancy pelosi gave the worst commencement speech i've ever heard. yes i'm still bitter about this 
-1,ugh. the amount of times these stupid insects have bitten me. grr.. 
1,prettiest insects ever - pink katydids: URL 
-1,just got barraged by a horde of insects hungry for my kitchen light. so scary. 
1,just had mcdonalds for dinner. :d it was goooood. big mac meal. ;) 
1,ahh yes lol ima tell my hubby to go get me sum mcdonalds =] 
1,stopped to have lunch at mcdonalds. chicken nuggetssss! :) yummmmmy. 
1,could go for a lot of mcdonalds. i mean a lot. 
1,my exam went good. helloleonie: your prayers worked (: 
1,"only one exam left, and i am so happy for it :d"" "
-1,math review. im going to fail the exam. 
-1,colin powell rocked yesterday on cbs. cheney needs to shut the hell up and go home.powell is a man of honor and served our country proudly 
-1,obviously not siding with cheney here: URL 
1,absolutely hilarious!!! from mashable: URL 
1,mashable i never did thank you for including me in your top 100 twitter authors! you rock! (&amp; i new wave :-d) URL 
0,learning jquery 1.3 book review - URL 
1,rt shrop: awesome jquery reference book for coda! URL webdesign 
1,i've been sending e-mails like crazy today to my contacts...does anyone have a contact at goodby silverstein...i'd love to speak to them 
0,adobe cs4 commercial by goodby silverstein: URL 
1,"goodby, silverstein's new site... URL i enjoy it."" "
1,wow everyone at the google i/o conference got free g2's with a month of unlimited service 
1,vkerkez dood i got a free google android phone at the i/o conference. the g2! 
1,"orli the g2 is amazing btw, a huge improvement over the g1"" "
1,"html 5 demos! lots of great stuff to come! yes, i'm excited. :) URL io2009 googleio"" "
1,googleio URL - yay! happy place! place place! i love google! 
1,googleio | o3d - bringing 3d graphics to the browser. very nice tbh. funfun. 
1,"awesome viral marketing for """"funny people"""" URL "
0,"watching a programme about the life of hitler, its only enhancing my geekiness of history."" "
-1,saw night at the museum out of sheer desperation. who is funding these movies? 
1,night at the museum 2? pretty furkin good. 
1,watching night at the museum - giggling. 
0,"pambeeslyjenna jenna, i went to see night at the museum 2 today and i was so surprised to see three cast members from the office..."" "
0,about to watch night at the museum with ryan and stacy 
0,"getting ready to go watch night at the museum 2. dum dum, you give me gum gum!"" "
-1,"back from seeing 'star trek' and 'night at the museum.' 'star trek' was amazing, but 'night at the museum' was; eh."" "
1,just watched night at the museum 2! so stinkin cute! 
1,"so, night at the museum 2 was awesome! much better than part 1. next weekend we'll see up."" "
0,"i think i may have a new favorite restaurant. on our way to see """"night at the museum 2""""."" "
0,"up! was sold out, so i'm seeing night at the museum 2. i'm __ years old."" "
1,saw the new night at the museum and i loved it. next is to go see up in 3d 
-1,it is a shame about gm. what if they are forced to make only cars the white house thinks will sell? what do you think? 
-1,"as u may have noticed, not too happy about the gm situation, nor aig, lehman, et al"" "
0,obama: nationalization of gm to be short-term (ap) URL 
-1,pittstock $gm good riddance. sad though. 
-1,"i will never buy a government motors vehicle: until just recently, i drove gm cars. since 1988, when i bought a .. URL "
-1,having the old coca-cola guy on the gm board is stupid has heck! tcot ala 
-1,rantsandraves the worst thing about gm (concord / pleasant hill / martinez): is the fucking uaw. .. URL 
-1,"give a man a fish, u feed him for the day. teach him to fish, u feed him for life. buy him gm, and u f**k him over for good."" "
-1,"the more i hear about this gm thing the more angry i get. billions wasted, more bullshit. all for something like 40k employees and all the.."" "
-1,quanttrader i own a gm car and it is junk as far as quality compared to a honda 
-1,sad day...bankrupt gm 
-1,is upset about the whole gm thing. life as i know it is so screwed up 
-1,whoever is running time warner needs to be repeatedly raped by a rhino so they understand the consequences of putting out shitty cable svcs 
0,"time warner ceo hints at online fees for magazines (ap) - read from mountain view,united states. views 16209 URL "
-1,wftb joining a bit late. my connection was down (boo time warner) 
-1,cox or time warner? cox is cheaper and gets a b on dslreports. tw is more expensive and gets a c. 
-1,i am furious with time warner and their phone promotions! 
-1,just got home from chick-fil-a with the boys. damn my internets down =( stupid time warner 
-1,could time-warner cable suck more? no. 
-1,pissed at time warner for causin me to have slow internet problems 
-1,"sportsguy33 ummm, having some time warner problems?"" "
-1,you guys see this? why does time warner have to suck so much ass? really wish i could get u-verse at my apartment. URL 
-1,"rt sportsguy33 the upside to time warner: unhelpful phone operators superslow on-site service. crap, that's not an upside."" "
-1,"rt sportsguy33: new time warner slogan: """"time warner, where we make you long for the days before cable."""""" "
-1,"confirmed: it's time warner's fault, not facebook's, that fb is taking about 3 minutes to load. so tempted to switch to verizon =/"" "
-1,sportsguy33 time warner = epic fail 
0,lawson to head newedge hong kong URL business china 
0,weird piano guitar house in china! URL 
0,send us your gm/chevy photos URL 
-1,i know. how sad is that? rt caseymercier: 1st day of hurricane season. that's less scarey than govt taking over gm. 
-1,"gm files bankruptcy, not a good sign..."" "
1,yankees won mets lost. its a good day. 
1,my dentist appt today was actually quite enjoyable. 
-1,i hate the effing dentist. 
0,stevemoakler i had a dentist appt this morning and had the same conversation! 
-1,kirstiealley i hate going to the dentist.. !!! 
-1,i hate the dentist....who invented them anyways? 
-1,this dentist's office is cold :/ 
0,check this video out -- david after dentist URL 
0,first dentist appointment [in years] on wednesday possibly. 
0,tom shanahan's latest column on sdsu and its ncaa baseball regional appearance: URL 
0,baseballamerica.com: blog: baseball america prospects blog ? blog ... URL 
0,portland city politics may undo baseball park URL 
0,"rt watersisweb: ca merced's water bottled by safeway, resold at a profit: wells are drying up across the county URL "
0,dropped her broccoli walking home from safeway! ;( so depressed 
0,ronjon we don't have safeway. 
1,just applied at safeway!(: yeeeee! 
-1,@ safeway. place is a nightmare right now. bumming. 
0,at safeway with dad 
-1,"hate safeway select green tea icecream! bought two cartons, what a waste of money. &gt;_&lt;"" "
0,"safeway with marvin, janelle, and auntie lhu"" "
0,safeway offering mobile coupons URL 
0,"phillies driving in the cadillac with the top down in cali, win 5-3 - URL "
0,saved money by opting for grocery store trip and stocking food in hotel room fridge vs. eating out every night while out of town. 
0,"lounging around, eating taco bell and watching ncis before work tonight. need help staying awake."" "
0,eating breakfast and then school 
0,still hungry after eating.... 
0,10 tips for healthy eating ? resultsby fitness blog :: fitness ... URL 
0,"with the boyfriend, eating a quesadilla"" "
0,"eating dinner. meat, chips, and risotto."" "
0,got a new pair of nike shoes. pics up later 
0,"nike sb blazer high """"acg"""" custom - brad douglas - URL "
1,nike rocks. i'm super grateful for what i've done with them :) &amp; the european division of nike is beyond! whitstyles muchasmuertes 
0,nike air yeezy khaki/pink colorway release - URL 
1,evelynbyrne have you tried nike ? v. addictive. 
0,erickoston that looks an awful lot like one of nike's private jets....i'm just sayin.... 
1,the nike training club (beta) iphone app looks very interesting. 
-1,argghhhh why won't my jquery appear in safari bad safari !!! 
0,devsnippets : jquery tools - javascript ui components for the web... URL 
0,"all about ajax,jquery ,css ,javascript and more... (many examples) URL "
1,"i'm ready to drop the pretenses, i am forever in love with jquery, and i want to marry it. sorry ladies, this nerd is jquery.spokenfor.js"" "
0,"this is cold.. i was looking at google's chart//visualization api and found this jquery """"wrapper"""" for the api... URL "
0,i spent most of my day reading a jquery book. now to start drinking some delirium tremens. 
